Album_Name,Released_Year,Length_of_Song
Thriller,1982,00:42:11
Back in Black,1980,00:42:19
The Dark side of The Moon,1973,00:42:49
The Bodygurd,1992,00:57:44
Bat out of Hell,1977,00:46:33
